Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1.0,1.0,0.4331520785318763,0.125,0.0,0.3681457074336097,2
1,0.0,0.0,0.5794308998041521,0.125,0.0,0.6150971127131478,0
1,1.0,0.0,0.4623461705678389,0.0,0.0,0.4382863797445804,2
1,0.0,0.0,0.5638056570361273,0.125,0.0,0.5951117782251508,2
0,1.0,1.0,0.5638056570361273,0.0,0.0,0.4483469373725304,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4570871617139532,1
0,0.0,1.0,0.6571603408131788,0.0,0.0,0.5893723924921064,2
0,1.0,1.0,0.3025785219266238,0.375,0.1666666666666666,0.5236656813522597,2
1,1.0,0.0,0.4675096096866259,0.0,0.3333333333333333,0.4783210927660373,2
1,0.5,0.0,0.3662656893461075,0.125,0.0,0.561381211262582,0
1,1.0,0.0,0.3294531525538622,0.125,0.1666666666666666,0.5133270005850489,2
1,0.0,0.0,0.6767077140108874,0.0,0.0,0.5477878099218253,2
0,1.0,1.0,0.4160650722164084,0.0,0.0,0.4483469373725304,2
0,1.0,1.0,0.584289009059101,0.125,0.8333333333333333,0.5665407176699173,2
0,1.0,0.0,0.3662656893461075,0.0,0.0,0.4167698439704556,2
1,0.5,0.0,0.6620516105986034,0.0,0.0,0.5105983381770075,2
0,1.0,1.0,0.3025785219266238,0.5,0.1666666666666666,0.5573255055537766,1
1,0.5,1.0,0.4978259932790342,0.0,0.0,0.4895936900036676,2
0,1.0,0.0,0.5421291926909031,0.125,0.0,0.5147917997571257,2
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.3464032120058173,0
0,0.5,1.0,0.5638056570361273,0.0,0.0,0.5373931885097546,2
1,0.5,1.0,0.5579035407552049,0.0,0.0,0.4895936900036676,2
1,1.0,0.0,0.3705765930857424,0.0,0.0,0.441529406577603,1
1,0.0,1.0,0.4978259932790342,0.0,0.0,0.5744411836158962,2
0,1.0,0.0,0.3489436831832462,0.375,0.1666666666666666,0.5236656813522597,2
1,1.0,0.0,0.5794308998041521,0.125,0.8333333333333333,0.5683943213256838,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.3464032120058173,0
0,0.0,1.0,0.4079900203433638,0.375,0.3333333333333333,0.7476408695413723,2
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.4202288781316989,1
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4284583614855458,2
0,0.0,1.0,0.5897450537859864,0.0,0.0,0.5513742636740908,0
1,0.0,0.0,0.4978259932790342,0.125,0.0,0.6769694877036576,0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.3949244643625331,1
0,0.5,1.0,0.731871789749756,0.0,0.0,0.4740870124718861,2
0,0.0,1.0,0.4978259932790342,0.125,0.0,0.6350166209398077,0
0,0.0,1.0,0.5987240403310208,0.125,0.0,0.5916289642426651,2
1,1.0,1.0,0.4978259932790342,0.0,0.0,0.3574588034684496,0
0,1.0,1.0,0.4239183988337059,0.0,0.0,0.4483469373725304,2
0,1.0,0.0,0.3966623340983409,0.25,0.0,0.5147917997571257,2
1,1.0,0.0,0.3662656893461075,0.125,0.0,0.4788163108705553,0
0,1.0,0.0,0.5897450537859864,0.125,0.0,0.4651153557213422,2
0,0.5,0.0,0.4675096096866259,0.125,0.0,0.5221747008933499,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4284583614855458,0
1,0.5,0.0,0.3192163198209954,0.125,0.3333333333333333,0.5828794417891092,0
1,1.0,0.0,0.4079900203433638,0.0,0.0,0.4202288781316989,1
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,2
0,1.0,1.0,0.4978259932790342,0.125,0.0,0.5067685847733391,1
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.3949244643625331,1
0,1.0,1.0,0.4978259932790342,0.25,0.0,0.5244325757681761,0
0,1.0,0.0,0.3966623340983409,0.125,0.0,0.5143031687425621,2
0,1.0,1.0,0.3455320871135414,0.5,0.1666666666666666,0.5807978374617785,2
0,1.0,1.0,0.4239183988337059,0.0,0.0,0.4129022272533054,2
1,0.0,0.0,0.6312386886545315,0.125,0.0,0.6209702814681355,0
1,0.5,0.0,0.5289318002833451,0.125,0.0,0.5373931885097546,2
0,0.0,1.0,0.7236435489390141,0.0,0.1666666666666666,0.6065262097110374,0
1,0.0,1.0,0.4978259932790342,0.0,0.0,0.5744411836158962,2
1,0.5,0.0,0.4239183988337059,0.0,0.0,0.4740870124718861,2
0,1.0,1.0,0.5258944112628108,0.0,0.0,0.3574588034684496,0
1,0.5,0.0,0.3390462187492944,0.125,0.3333333333333333,0.552772643984155,2
0,1.0,1.0,0.3602944976272512,0.625,0.3333333333333333,0.5850006231744664,2
0,1.0,1.0,0.4331520785318763,0.0,0.0,0.3574588034684496,0
1,0.0,0.0,0.5794308998041521,0.0,0.0,0.6324753476211937,2
0,0.0,1.0,0.6123987547851958,0.125,0.0,0.6388919669209703,2
0,1.0,1.0,0.3294531525538622,0.375,0.3333333333333333,0.5541822734678037,2
0,0.0,1.0,0.4978259932790342,0.0,0.0,0.5513742636740908,0
1,1.0,1.0,0.4978259932790342,0.125,0.1666666666666666,0.5048327479576674,0
1,0.5,0.0,0.5289318002833451,0.0,0.0,0.4740870124718861,2
0,1.0,1.0,0.4079900203433638,0.0,0.0,0.4555321751684009,2
1,1.0,0.0,0.3866391952087103,0.5,0.3333333333333333,0.4382863797445804,2
0,1.0,1.0,0.4623461705678389,0.25,0.0,0.4599876370181719,2
0,0.5,1.0,0.5475147250141573,0.0,0.0,0.4740870124718861,2
0,1.0,0.0,0.3779565283814268,0.625,0.3333333333333333,0.5850006231744664,2
0,0.5,1.0,0.4239183988337059,0.0,0.0,0.6173277077533108,2
0,1.0,1.0,0.4623461705678389,0.125,0.0,0.499516926507386,0
1,1.0,1.0,0.5475147250141573,0.0,0.0,0.600375001533275,2
0,1.0,1.0,0.4562697362471276,0.0,0.0,0.3800880508865124,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4284583614855458,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,2
1,0.5,1.0,0.2526660004736251,0.0,0.3333333333333333,0.5564337764029503,2
1,1.0,0.0,0.5353177329359075,0.0,0.0,0.4825135405955714,2
0,1.0,1.0,0.4331520785318763,0.0,0.0,0.4630159908344879,2
1,1.0,1.0,0.5289318002833451,0.0,0.0,0.4664848597225169,2
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.4103050158676652,1
0,0.0,1.0,0.4978259932790342,0.0,0.0,0.5864432806659291,2
1,0.5,0.0,0.3866391952087103,0.0,0.0,0.4740870124718861,2
1,1.0,0.0,0.5533351189055027,0.375,0.0,0.50943500827718,2
0,1.0,1.0,0.3779565283814268,0.125,0.5,0.5721802927901016,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,2
1,0.0,0.0,0.4403496086471908,0.375,0.3333333333333333,0.7476408695413723,2
0,1.0,1.0,0.4477880312965102,0.0,0.0,0.4483469373725304,2
0,1.0,1.0,0.5289318002833451,0.0,0.0,0.4483469373725304,2
0,1.0,1.0,0.4160650722164084,0.0,0.0,0.4167698439704556,2
0,0.0,1.0,0.6173277077533108,0.125,0.0,0.6059560440506894,2
0,1.0,1.0,0.4623461705678389,0.125,0.3333333333333333,0.5211836891200355,2
0,1.0,1.0,0.6807836801695953,0.0,0.0,0.3681457074336097,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,2
0,0.0,1.0,0.7602827441462807,0.0,0.0,0.5730618147523542,0
1,0.0,1.0,0.4403496086471908,0.0,0.1666666666666666,0.6071015682752704,0
1,0.5,0.0,0.5579035407552049,0.0,0.1666666666666666,0.5261635414246925,2
0,0.5,1.0,0.5579035407552049,0.125,0.0,0.5373931885097546,2
0,1.0,0.0,0.4978259932790342,0.0,0.0,0.4284583614855458,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4284583614855458,2
0,0.0,1.0,0.4239183988337059,0.0,0.1666666666666666,0.6220434716091641,2
0,1.0,1.0,0.5533351189055027,0.0,0.0,0.4578632623763571,2
0,1.0,1.0,0.5760816011568849,0.25,0.0,0.4382863797445804,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4284583614855458,2
1,1.0,0.0,0.4239183988337059,0.0,0.0,0.3800880508865124,2
1,1.0,1.0,0.4978259932790342,0.0,0.0,0.4064512868764628,2
0,1.0,1.0,0.5794308998041521,0.0,0.0,0.4284583614855458,2
1,1.0,0.0,0.4978259932790342,0.125,0.0,0.5294376382632878,1
0,0.0,1.0,0.6209702814681355,0.0,0.0,0.5916289642426651,2
0,1.0,0.0,0.3690483843035249,0.125,0.0,0.499516926507386,0
0,1.0,1.0,0.4331520785318763,0.0,0.0,0.4483469373725304,2
0,1.0,0.0,0.4160650722164084,0.125,0.0,0.4687853940336841,2
0,1.0,0.0,0.3866391952087103,0.0,0.0,0.5007246140365249,0
0,1.0,1.0,0.4239183988337059,0.0,0.0,0.4382863797445804,2
0,1.0,1.0,0.7503715813993727,0.0,0.0,0.3949244643625331,1
0,0.5,1.0,0.5289318002833451,0.125,0.0,0.5221747008933499,2
0,0.0,1.0,0.4477880312965102,0.0,0.1666666666666666,0.7230696912296037,0
0,1.0,0.0,0.3025785219266238,0.5,0.3333333333333333,0.5665407176699173,2
0,0.5,1.0,0.4239183988337059,0.25,0.0,0.6173277077533108,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,2
0,0.5,1.0,0.550641885917468,0.125,0.0,0.561381211262582,0
1,0.5,0.0,0.550641885917468,0.0,0.0,0.4895936900036676,2
0,0.0,1.0,0.6571603408131788,0.0,0.1666666666666666,0.6220434716091641,2
1,1.0,1.0,0.3625903806605549,0.125,0.0,0.4788163108705553,0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.3949244643625331,1
1,1.0,1.0,0.4477880312965102,0.0,0.0,0.338446669250611,2
1,1.0,0.0,0.4978259932790342,0.125,0.1666666666666666,0.5251623727298073,0
0,1.0,1.0,0.6123987547851958,0.0,0.0,0.3192163198209954,2
0,1.0,1.0,0.5533351189055027,0.0,0.0,0.4284583614855458,0
0,1.0,1.0,0.4160650722164084,0.0,0.0,0.3270734992848313,2
0,1.0,0.0,0.6209702814681355,0.125,0.0,0.5021740067115567,2
1,0.5,0.0,0.5289318002833451,0.125,0.0,0.5373931885097546,2
0,0.5,1.0,0.4562697362471276,0.0,0.0,0.4895936900036676,2
0,0.5,1.0,0.4403496086471908,0.0,0.0,0.5036208433036421,0
1,0.0,0.0,0.4079900203433638,0.0,0.3333333333333333,0.5442118021041084,2
0,0.0,1.0,0.5760816011568849,0.125,0.0,0.5951117782251508,2
0,1.0,1.0,0.3779565283814268,0.0,0.0,0.4636268412985282,2
0,0.0,1.0,0.4477880312965102,0.0,0.0,0.6288284496418153,0
0,1.0,0.0,0.4978259932790342,0.0,0.3333333333333333,0.5048327479576674,0
1,1.0,0.0,0.4331520785318763,0.0,0.0,0.3949244643625331,2
1,1.0,0.0,0.4477880312965102,0.125,0.0,0.50943500827718,2
0,1.0,1.0,0.4079900203433638,0.0,0.0,0.3128440446774492,1
0,0.5,1.0,0.3966623340983409,0.0,0.0,0.4795580903960572,2
0,0.5,1.0,0.4079900203433638,0.125,0.1666666666666666,0.575422801995535,2
1,1.0,1.0,0.4675096096866259,0.0,0.0,0.4117376275840675,2
0,1.0,0.0,0.3544934501163655,0.25,0.3333333333333333,0.5721802927901016,2
0,0.5,1.0,0.5749573169393478,0.0,0.3333333333333333,0.5373931885097546,2
0,0.5,1.0,0.5987240403310208,0.0,0.0,0.4895936900036676,2
0,0.5,1.0,0.6440067577201629,0.0,0.0,0.4829854966461726,2
1,0.0,0.0,0.4331520785318763,0.125,0.0,0.6091169191124597,2
0,1.0,1.0,0.6643719358924056,0.0,0.0,0.4483469373725304,2
0,1.0,1.0,0.5931617940366414,0.0,0.3333333333333333,0.5021740067115567,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.3726755450597717,2
0,0.0,1.0,0.6440067577201629,0.0,0.1666666666666666,0.606136086232667,0
1,1.0,0.0,0.3779565283814268,0.0,0.0,0.3836826214666587,1
0,1.0,1.0,0.5353177329359075,0.0,0.0,0.4483469373725304,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4599876370181719,2
0,1.0,1.0,0.4978259932790342,1.0,0.3333333333333333,0.6123987547851958,2
0,1.0,1.0,0.6068484163993966,0.0,0.1666666666666666,0.5118652871156263,2
1,0.5,0.0,0.5897450537859864,0.0,0.0,0.5084945361980241,2
0,1.0,1.0,0.4623461705678389,0.0,0.0,0.4064512868764628,2
0,1.0,1.0,0.3866391952087103,0.0,0.0,0.4599876370181719,2
0,1.0,1.0,0.2798173978998723,0.5,0.1666666666666666,0.5807978374617785,2
1,1.0,1.0,0.3544934501163655,0.0,0.3333333333333333,0.5204419095945336,2
1,0.0,0.0,0.4978259932790342,0.0,0.1666666666666666,0.5971016752349488,2
0,1.0,0.0,0.6123987547851958,0.125,0.6666666666666666,0.5541822734678037,2
0,0.0,1.0,0.4978259932790342,0.0,0.0,0.5327124876590983,2
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.600375001533275,2
0,0.0,1.0,0.6936065394812824,0.0,0.0,0.5709490308090202,2
0,1.0,1.0,0.3294531525538622,0.5,0.1666666666666666,0.5573255055537766,1
1,1.0,0.0,0.2798173978998723,0.125,0.1666666666666666,0.4783210927660373,2
